Title.,GLASS Window,GLASS Component/Experience,Explanation/Elaboration,Connection to UN Sustainable Development Goals/Grand Challenges,"Describe the impact this experience had on your professional, academic, and personal development/goals",Start Date,End Date,Links and Supplemental Information,Photos,Captions for Photos,Tandon Areas of Excellence,How did you find out about this opportunity?,Detailed Location,GLASS Funding Used,Semester
EG-UY 3003 - Pre-Capstone,Professional Development,Special Course,"The ""Pre-Capstone Innovation Experience"" course is a dynamic and hands-on program tailored for undergraduate engineering students in their sophomore/junior years. It serves as a crucial preparatory step for their senior capstone projects, equipping them with essential skills to identify significant problems and address crucial customer needs. Through a blend of theoretical learning and practical application, this course aims to foster innovation, multidisciplinary collaboration, and entrepreneurial thinking among students.","The PreCapstone Innovation Experience aligns closely with several UN Sustainable Development Goals (SDGs) and Grand Challenges. For example, the emphasis on multidisciplinary collaboration and customer discovery directly contributes to SDG 9: Industry, Innovation, and Infrastructure by fostering innovation through engineering education and encouraging students to develop sustainable, market-driven solutions. The creation of a roommate application aimed at easing the accommodation process relates to SDG 11: Sustainable Cities and Communities, as it addresses urban housing challenges by improving access to suitable living conditions.","The PreCapstone Innovation Experience stands as a beacon of innovation and excellence in engineering education. By bridging the gaps in the existing curriculum and equipping students with the necessary skills and knowledge to thrive in today's dynamic engineering landscape, the program lays the foundation for future success and innovation. As we reflect on our journey through the PreCapstone class, we are grateful for the transformative experience it has provided and look forward to leveraging our newfound skills and knowledge to create positive change in the world especially as it relates to becoming a competent global engineer.",1/29/2024,5/22/2024,,Screenshot 2024-08-31 at 1.47.41 AM.png (https://v5.airtableusercontent.com/v3/u/33/33/1728007200000/CDA_I6giyZVrIQA4hD7-gA/mR3-qEsCH_jzrm8fL25CSNMVaXcGBz3dcHFG07KeNt3g38hCJWFkpzGyBNAQhFjrh9ExmwefQSISrDIItS-a6HLguowJPitojBvA38Ozyy9wHVsYSZ4m3f1hcu1VrbcSzvIoIMDGuNndn_NGPhHkn9xbCQveG5eSgQvq3WtFFO5-vi1y94VWBcjG1hicLnhg/QHcTMkR54sV2cd1dzML76INkjl-iR-Cyprpw59MpLyU),My Teammates for our Capstone Project,"Emerging Media, Communications/IT, Urban",Email from David Leffer,"United States, New York, Brooklyn",No,Spring/Summer Junior
Lockheed Martin Internship,Leadership Development,"Internship,Employment/Job,Award","I got accepted into Lockheed Martin’s Propulsion Program for the UH-60 Team where I embarked in a 12-week internship where I fully worked on editing and creating drawings for the Fuel Cells for BlackHawk and SeaHawk. During that time there was a company wide intern competition that was available for us to compete, and in that case I felt the ambition and need to compete and see where I stand against other interns that come from very prestigious universities such as Stamford and Yale and come from different experiences. The focus in our group in which I led regarded combating wildfires In California and the final results of that competition ended up with a 1st Place finish for our group.","My experience with Lockheed Martin's Propulsion Program and my leadership in the intern competition aligns with several UN Sustainable Development Goals (SDGs) and Grand Challenges. The project I led, focused on combating wildfires in California, directly addresses SDG: Climate Action by developing innovative solutions to mitigate the effects of climate change-related disasters. Additionally, my work on fuel cells for the BlackHawk and SeaHawk helicopters aligns with SDG : Industry, Innovation, and Infrastructure, as it involves advancing critical technologies in aerospace engineering. Moreover, the combination of these experiences demonstrates a commitment to engineering solutions that not only advance technological innovation but also contribute to global efforts in sustainability and disaster resilience.","This experience had a profound impact on my professional, academic, and personal development. Professionally, it sharpened my leadership and collaboration skills, particularly in high-stakes environments, and deepened my expertise in aerospace engineering. Academically, it reinforced the importance of practical application of theoretical knowledge, motivating me to pursue innovative solutions to real-world challenges. Personally, the success of leading my team to a 1st place finish in the intern competition instilled in me a strong sense of ambition and confidence in my ability to make meaningful contributions to critical issues like wildfire mitigation. This experience has fueled my desire to either launch a start-up focused on combating climate-related disasters or continue developing this project within Lockheed Martin, potentially turning it into a scalable solution that can make a significant impact.",5/20/2024,8/8/2024,,IMG_3526.png (https://v5.airtableusercontent.com/v3/u/33/33/1728007200000/NXiEJ0zjwXSlL01fKb9R5w/nxj_XF4xkdrlO3FA6-xVz6VjEqrJrlZz75WV0O_MadlcYQTicSUfrX8nf9GgfixQAEWGgyY8GlI-5-WUxgQbqTciZ-IU9NcQyYJVt_V-VGlpT3ac1aswFXePBQG4k2-bncJM2EXKh4xYfYttsC3XnFd3Hyk4oR1-5K5m1Tfv59w/4lxY3WMNlPJs6OK0H12sric7-JfB97kx-jNJhbMfcMw),My Lockheed Martin ID,"Sustainability, Urban",Recruiter reached out via Email,"Stratford, Connecticut ",No,Spring/Summer Junior
Secretary of NYU Asian Cultural Union,Leadership Development,Student Activity/Event/Club,"Documented executive board meetings outlining future events as well as budget allocation and marketing. Mentored new executive board members in different positions in the organization, teaching them relevant skills. ","This connects to the NAE Grand Challenges as it refers to the focus on advancing personalized learning. Learning can be done through different organizations by simulating or creating scenarios to apply real world skills. For example, ACU does this through event planning and project management, putting in details such as what it means to ask people for information regarding an event, booking a room, as well as an itinerary of what people can do. Similarly, it develops marketing skills, talking to small businesses about partnerships and sponsorships. Lastly, it requires skills in teaching, and being able to have a strong understanding of the tasks required of me. ","The organization has impacted my professional goals as it allows me to develop skills that will be useful for future events and different career paths that I may want to take. Although I am a Computer Science major, the organization gives me opportunities to practice my business acumen among secretorial work. In addition, the organization contributes to my personal development goals as it lets me focus on being more organized and requires me to be responsible and keep up with my tasks. ",11/18/2021,5/15/2025,https://www.instagram.com/nyu_acu/,,n/a (document is placeholder for future event photos I can upload later),,Club Fest,"New York, NY",No,Fall/Winter Sophomore
Ramboll x Cyrus One Hackathon,Professional Development,"Award,Other","Iterated on an existing design of a database to improve sustainability and biodiversity within the area. Pitched ideas and designs to a group of executives and employees at Ramboll discussing pros and cons. Collaborated on a team of four delegating and specializing in different parts, placing first out of six teams.","This relates to the sustainable cities and communities development goal, as we worked to develop sustainable and biodiverse database housing for Ramboll. Whether this be through the ideas we pitched or the different things we researched, the sustainable develepment goals were considered and applied. We also focused on the NAE grand challenge of finding ways to reduce carbon emissions as we worked on developing different ways to fight carbon emissions produced as well as making the databases net carbon. This was done through finding alternative methods of producing energy as well as finding ways to plant more carbon sinks in the area.","This impacted my professional goals as it opened me to a completely new field that I had not known of before. I never really considered entering the sustainability field or anything related to environmental engineering as I didn't think that I would really enjoy it. However, after spending time at the hackathon, I realized there was a lot more to it than just plants, and also seeing how there was a position related to consulting also made me consider the field more. Overall, it opened my eyes and taught me a lot of new valuable skills that I could apply elsewhere.",9/23/2022,9/23/2022,https://www.linkedin.com/feed/update/urn:li:activity:6979205525955584000/,1664146328819.jpg (https://v5.airtableusercontent.com/v3/u/33/33/1728007200000/g2Tx1YSTsJ69hQU35hsD_A/Rw3i7o7YyOz1gso-K5iaDnZ_VzfGSxCKM381jmpnaX3mXY8-ouA6xjc1jlDkF9s7YlQTBe1B1hkVbA-53Nf9om-rTPETNd1YoYI_rUuHX5OGdMVWTLQOOz05bC6kBc8jLZkmacKuL9MXvunR8yUImw/yVxAIRsNR02hD5Zs8ZFKRuQKicM8OVbW1IVPmTrg3bQ),Receieving first place for our database design.,Sustainability,GLASS,"Brooklyn, NY",No,Fall/Winter Sophomore
Korea University Study Abroad,Global Competency,Study Abroad,"Studied abroad at Korea University in South Korea experiencing the culture, food, and student life abroad. Took courses such as Beginner's Korean, Algorithms, Princples of Economics, and Computer Architecture. Conducted reserach under graduate students are Korea University.","I would say this connects to personalized education and quality education from the NAE Grand Challenges and UN Sustainability Goals as such. I think being able to study abroad has been a personalized education for me because it allows me to experience my education in a new manner, and allows me to grow personally. In terms of quality education, being able to learn Korean in Korea has given me a very different perspective on different cultures, as well as the language and how different the mannerisms and behaviors of people are based on location. I think studying abroad definitely allows for a more quality and personalized education, making it an experience that helped me develop skills that may not necessarily be applicable in the classroom, but will help me throughout my lifetime. ","This experience abroad definitely made me a more resilient person, but also a more open minded person. I feel that this experience affected my professional goals by opening up Asia as a potential place that I want to work, and now can work given my ability to speak Chinese and a little bit of Korean. In terms of academic goals, I now know that I want to continue studying abroad, possibly maybe in a Spanish speaking country to practice my spanish. Lastly, for my personal development goals, I now realize that I want to focus on improving my language skills and also have gained a lot of experience and personal growth throughout my time in Korea, making me more prepared for the real life challenges I will face later. ",3/1/2023,6/22/2023,https://gsc.korea.ac.kr/usr/exchange/overview.do,,n/a,Urban,Found about this through NYU GLASS ,"Seoul, South Korea",Yes,Spring/Summer Sophomore 
Korea University Undergraduate Research/Internship,Academic Excellence,"Internship,Research/Lab Work,Study Abroad",Assisted Graduate Students with research on deep learning and image processing. Enriched Computer Science learning through reading research papers. ,"I would say my experience relates to the Goals of Engineering the Tools of Scientific Discovery, and Advancing Personalized Learning. Learning more about AI and Machine Learning as well as image processing will allow us to make significant scientific advancements later in the future in other fields. In addition, this also allows me to explore different niches to discover what I want to do in Computer Science. Overall, it allows me to discover new things about my interests and passions, contributing to personalized learning and also contributing to society through better advancements later on. ","I think this experience has impacted my professional goals by showing me a new field that I could enter within computer science which I found really interesting. In addition, for academics, it has shown me how complex computer science can be, and how intricate the details are. For personal development, it has taught me to take initiative to discover new opportunities. I now know that machine learning is very interesting, and is something I could heavily consider pursuing. ",4/1/2023,6/22/2023,n/a,,n/a,Data Science/AI/Robotics,Asking a Professor,"Seoul, South Korea ",No,Spring/Summer Sophomore 
Theta Tau Community Service,Commitment to Service,"Student Activity/Event/Club,Volunteer Event/Experience","Completed community service with the fraternity through events such as park cleanup, food distribution at churches, making dog toys, craft kits, and fundraisers for non-profit organizations. ","This is related to the the UN Sustainable goals of Zero Hunger and No Poverty. One of the biggest things we focused on with community service was helping out those in need in the Brooklyn community, and specifically focusing on tackling food insecurity in NYC. I was able to tackle this by doing a lot of service around helping those in need with food insecurity, contributing to the zero hunger sustainable goal. Similarly, in line with the zero hunger, tackling food insecurity helps with handling poverty, which I was able to contribute to by fundraising for charitable organizations. ","I think this experience really showed me how important it is to think about others and the community itself. Academically or professionally, I don't think this was very impactful. However, in terms of personal development, it made me realize how satisfied I felt when I helped others out and made a meaningful difference in their lives. It showed me that happiness can be found in making others happy, and that accomplishments can also involve making the world a better place. ",9/1/2023,12/15/2023,https://www.instagram.com/nyuthetatau/,,N/A (The Document includes one of the service events that I attended),,Found it through my organization. ,"Throughout Different Locations in Brooklyn, NY",No,Fall/Winter Junior 
Intern at Urban Future Labs,Professional Development,"Internship,Special Course,Special Program,Employment/Job"," ● Assisting the software development team by
working on front-end functionality and improving the user experience 

● Conducting
quality assurance, unit, and integration testing for the software before it
goes out to clinicians and customers 

● Creating frameworks in Figma to prototype and ideate
potential interfaces through the software development life cycle  ","I would say this connects to the Quality Education and the Partnership for Goals  Development Goals. In regards to quality education, being able to have a hands on experience like an internship allows me to take what I've been learning in the classroom and apply it to the real world. This was especially meaningful given I got the chance to understand what a job working as a software engineer would be like. SImilarly, given how much work we did partnering with people all over the world, I think this very much aligns with the Partnership for Goals aspect of the UN sustainable development goals. ","This impacted my professional experience allowing me to advance myself significantly as a professional engineer, and was able to help me later on land internship offers with companies like Northrop Grumman. I'd say having this internship was a big proponent to me being able to land my summer internship as well as many other opportunities. Academically, this opportunity gave me the chance to enhance my education, and to see a field of computer science that we don't really get to explore at NYU. Personally, it gave me insight into what I was interested in, and what I wouldn't want to do. ",9/1/2023,12/15/2023,https://www.primary-assembly.com/,,N/A,"Communications/IT, Emerging Media",GLASS Honors Program and the Urban Future Labs,"Brooklyn, NY, United States",No,Fall/Winter Junior 
Studying Chinese at NYU Shanghai,Global Competency,"Study Abroad,Special Course",Studied abroad in China right after studying abroad in Korea. Spent 6 weeks at NYU Shanghai taking Intermediate Chinese II.,"Studying abroad in NYU Shanghai relates to the UN Sustainability goals of Quality Education and Partnerships for the Goals. Engaging in an immersive learning environment like Shanghai provides unique cultural insights and linguistic skills that are invaluable for understanding diverse perspectives, which enhance the goal of receiving a quality education. Also, studying abroad helps me foster diverse connections with a greater global network of people, ","Studying abroad in Shanghai was a significantly meaningful experience for me because of how it opened me to a whole different set of opportunities, markets, and connections. On the professional side, improving my Chinese to a professional level allows me the opportunity to work in China, dramatically increasing my market. Academically, I continuing to learn languages and studying abroad develops me more as an unconventional engineer. Personally, taking more Chinese courses gives me the chance to continue to connect with my culture and family. ",7/3/2023,4/12/2024,https://shanghai.nyu.edu/,,n/a,,NYU Albert,"Shanghai, China",Yes,Spring/Summer Sophomore 
Data Engineering Internship at DIRECTV,Professional Development,Internship,Completed a data engineering internship with DIRECTV. Created data pipelines using snowflake and automated pipelines with databricks to train machine learning models. ,"This is connected to the UN Sustainable development goals as it pertains to having a personalized education. One of the most important things about becoming an unconventional engineer is being able to have the technical skills to back up what you are doing, and creating a more tailored education helps focus this. Additionally, this is also an improvement to a higher quality education as it creates a meaningful experience of taking the skills I learned from a course like Introduction to Databases and applying it in a real world experience.","The professional impact this had on me was that it made me realize I want to become a data engineer after I graduate. One of the biggest realizations for me was how important data is to make good decisions and I want to contribute to that wherever I go. Academically, I was able to make a very meaningful connection between the course and the real world applications involved. Personally, it helped me explore a new path of computer science and helped me further hone my skills. Additionally, it helped me develop the confidence to be a technical engineer who can back up his work with real skill.",6/3/2024,8/9/2024,,internsummitfoodbank.jpg (https://v5.airtableusercontent.com/v3/u/33/33/1728007200000/Xq1Z6VjbB7JqbLj_uMX0Iw/7F3FTD_7G7rIm8jZCYhakm9yv8JxLdgFz1LtD8ezoYSBtTp18GX9dCwfem7IyjdtfueNgn75T00cXIMEoYT2Jw_7DAqn3S54Ltg9uZyM0X86gWDvi88DCCt8xeNk1nzzhGs74Qnt4hMeICbTz3VSuulm1pW5xfHNliWiAua057AvAoxKykRn81zF1XnmOFJx/zIbs0JyszigDQhr8_707kDCgAR2EqHC7oJx_2Yx9D94),DIRECTV interns at the intern summit ,"Data Science/AI/Robotics, Communications/IT",Family,"United States, California, El Segundo",No,Spring/Summer Junior
Study Abroad at VinUniversity,Academic Excellence,"Special Course,Study Abroad,Special Program",Completed a 2 week long study abroad program at VinUniversity. Completed the Digital Twin to Tackle Sustainable Development Issues in Smart Cities in Hanoi course.,"This is connected to the Industry Innovation and Infrastructure UN sustainability. We are focused on creating modelling and simulations for the city, which as a result will be important for analyzing infrastucture and how we can improve it later on. This can also be considered as Partnerships for the goals. Because NYU and VinUni are doing a collaborative assignment together, it is the coming of two global institutions creating a unique and global experience.  ","Professionally, this opened my eyes to another opportunity and avenue of careers that I could choose to pursue. Academically, this continued to give me opportunities to study abroad. Personally, I was able to explore a new country and immerse myself in a new language. Continuing to study abroad is a passion of mine and allows me to be a more culturally competent individual. ",8/14/2024,8/29/2024,,placeholder to be added.txt (https://v5.airtableusercontent.com/v3/u/33/33/1728007200000/_7WqxFRLEq9dcC5YaOctqw/NBNXiB82V67f9ii-RsEupALX7smE6BasIew3GT_ZjBoeMTan9J_O0zNkg1J-dxl1NbbX6avisUJ4CXYrE-3FqQLjaV3_pBXxNSv9mu-yP2zj-pXTDiB1LCldFf_qVyOVrpHRyuGHaKZOpGHQtsaHo1TYm-cxT0p-BTWCJ1s9H5DDVnsdKjpuL7urquJrYOVg/vySkoVxQKzeTeeDXkadPjrQo9WTRvDqXcoTNDcbeqgU),placeholder tbd,"Sustainability, Urban",Through GLASS,"Vietnam, Hanoi",Yes,Spring/Summer Junior
Community Service at LA Food Bank,Commitment to Service,Volunteer Event/Experience,Spent the day volunteering at the LA food bank. Helped create meal kits to feed the homeless living in the Los Angeles county.,"This relates to the UN Sustainable Development goal of zero hunger. One of the biggest challenges facing the world today is that many parts of the world experience a lack of food available to them, while in many other places there’s a lot of food waste. Doing community service with the LA food bank helps reduce the amount of food waste happening by helping distribute food that might not have been eaten to people who are unable to access food as easily as others. Additionally this relates to the no poverty as we continue to alleviate the stressors that might exist in someone who is unable to provide a livable wage for their family.","The professional impact this experience gave me was relatively minimal as there wasn’t significant professional development through this. Academically, similar experience as this was more of a service related event as opposed to something academic. Personally, it made me more appreciative of the things I have and the privilege I have. It reminded me that everyones circumstances are different and we need to keep that in mind.",6/26/2024,6/26/2024,,internsummitfoodbank.jpg (https://v5.airtableusercontent.com/v3/u/33/33/1728007200000/YlMLcKRIWaHySkEWimYwlA/NqM2rPeJidavgmRs20sFsv1rTYOR9nE5jWhA6goP1MbPm0dSxwfV6FsD_Omh-j5TMr4zjjfxuuVghUed6AWqApAO8VJAJLlgV7uLcqAH1F9KwcZmAFgJDw93kXP05OFsqNdYB1Dpg_bV_PRcqlPu-P8RdDL2EFhkyr632OrB6EEEWRKw0qblwVGNKTNhLrMD/8JLtGGB3hJu3w1KYQzDDJkkpNiJJYR56-LqF4VtMxFw),Us at the LA food bank (more photos to come later),"Health, Urban",Through my internship at DIRECTV,"United States, California, Los Angeles",No,Spring/Summer Junior
NYU Langone Health Internship,Academic Excellence,"Internship,Research/Lab Work,Volunteer Event/Experience","In this internship, I worked with Dr. John Ross Rizzo and team members to construct a prototype of a headset that will enable
the blind to navigate construction sites in busy metropolises. I worked
primarily on the software side, programming the computer vision framework in
Python and in Jupyter. "," This connects to the NAE Grand Challenge of Advancing Health Informatics. Not only does this internship promote a new way to help the blind through traditional
sensory techniques but it also applies a technological edge through the use of
a headset that applies machine learning and computer vision to give haptic
feedback to the user. This may also connect to the grand challenge of
Engineering Better Medicines as this could be used as a permanent tool for the
blind for those who live in big cities to help them navigate construction areas
that are popping up all of the time. As a runner in NYC, I have seen so many
construction sites that this tool will prove to be super valuable when it is
created.  "," This internship is one of the first long-form internships I have ever had and one of
the most challenging I have ever done. Right off the heels of learning deep
learning for competing in research competitions, I was enlisted to work on this
project for Dr. Rizzo due to my experience in the field. Working on this
internship allowed to feel what it was like to participate in academia from
weekly group Zoom meetings, project updates via email, celebratory
presentations when a prototype is finished and feeling general kinship among
the lab members I work with. I have formed a real community with the lab group
at NYU Langone Health, one which will help me connect to other opportunities in
the healthcare sector and feel right at home in other similar internships. For
my first ever internship, it’s a great stepping stone.  ",11/6/2019,6/21/2023,"https://med.nyu.edu/faculty/johnross-rizzo

https://github.com/ultralytics/yolov5","Screen Shot 2022-01-19 at 11.10.08 PM(1).png (https://v5.airtableusercontent.com/v3/u/33/33/1728007200000/d2ZG4AKwwR5mmy4o5nOR0g/In-baeRjX7DMPLCZCKZS05NbScZLUtld1lpsUJFe4nZNx-mui5T2Ql3T8CadV24p-hlUNu_Qwrn-j1C-pJyX_tmIzy67VHjGtACvp2Pef_us7136PJngsJsBLq1059TMoDyxnfeSl4_XjczjB0P5CSh10U-4IHEV6_FqtXNN5zLDCo9SMN8iHscYfcJ3KQG1/_JQ0swGTu3DFHcX0aFr7AaKoVS5GG4pE7mikNYq3HzY),Screenshot (2).png (https://v5.airtableusercontent.com/v3/u/33/33/1728007200000/hgD-w4MhOiItWEcgUEgaTg/SnXDZGsecZf3batqxQ03v4c45KF3U2FXhOLCOEzQ1-0Kp51N9kX3YwJFNrzk5_gywaqk5-h9RpH9Zb-8wwlkhLO4JOiO7qlp2b_1iRd7GNF9FXAvY_OlzXIYUEuFTMTav_E0T3IxppgeZJAF17wbyA/NpXes9LedL_DBiUkUI7xi-fSmG5thtlD3mrSrIxfha0),Screenshot (4).png (https://v5.airtableusercontent.com/v3/u/33/33/1728007200000/GTRfAGeSB0PS-yBptMOI1w/HbU2JJRmut0UfBXrkoRwTwJUdKoCM8cagNw80SQLdPXbC1FUovQtc2UHpx5xqrwtsjFh7BqAfiRaMJTgzZ17u9n8xkcZ-tYvqTFMpm25aUsz7laimyherC0Q07_b6ri9FADGyjDn3dWiQePKyc-7EQ/O2fY3Ym3nRsYHhuSvesYDyMw7rYwloFC0RLCAPcQjiA)","The first screenshot shows the distribution of classes in the RoboFlow dataset containing various construction items.

The second photo shows an email scheduling a Zoom lab meeting with the NYU Langone team for a weekly update regarding projects worked on by the team.

The third photo shows the team members coordinating adding the photos from the dataset to a Google Drive backup in case the online dataset fails in any way. ","Data Science/AI/Robotics, Health, Emerging Media",Family / Family Friend,"New York, NY, USA",No,"Fall/Winter Sophomore, Spring/Summer Sophomore , Fall/Winter Junior "
Host of WNYU's The Upload,Commitment to Service,Student Activity/Event/Club,"In this experience, I became the host of my own radio / podcast show called The Upload. In each episode of the show, I highlighted members of the NYU community who are creating a new product or
startup that could solve a niche in society and allowed them to discuss and
pitch it to me for 20 minutes. 5 Episodes were produced! ","This connects to the UN Sustainable Development Goal of Industry, Innovation and
Infrastructure. Not only am I allowing these NYU students to have a voice and
talk to the NYU community about their product, I am allowing them to share
their innovation to those all around the tristate area in an effort to spread
the word about a solution to a problem that hasn’t been solved yet. I have so
far talked to people who have created products in stooping, promoting the
environment, and in NFTs and digital art, which connects to the NAE Grand
Challenge of Engineering Tools of Scientific Discovery. I might even get into
these fields given some of them have peaked my interest.   "," This experience has been one I’ve been wanting to do for a long time. I have always
wanted to display my expertise in machine learning and deep learning to those
in the NYU community and also hear about the innovations of other NYU students
in a way for them to discuss and think about new ideas they could incorporate
to their product. Having a podcast was a great way for me to learn about these
innovations and suggest avenues for these creators to connect their products to
mentors for better access to funding and better publicity. It also allows me to
learn more about the various types of startups that people are building and
explore different fields that I might be interested in working in when I create
my own startup.   ",9/28/2022,12/16/2022,"https://soundcloud.com/wnyu/the-upload-episode-4-ai-safety-and-musks-twitter-w-snigdha-roy

https://soundcloud.com/wnyu/the-upload-episode-3-the-ethics-and-greed-of-ai-employees-w-saketh-kesiraju

https://soundcloud.com/wnyu/the-upload-episode-5

https://soundcloud.com/wnyu/the-upload-ep-2-art-galleries-post-covid-w-saketh-kesiraju

https://soundcloud.com/wnyu/the-upload-episode-1-why-havent-we-done-robots-and-gpt-3-yet","67563.jpg (https://v5.airtableusercontent.com/v3/u/33/33/1728007200000/3TtFG2uC-1kTJgj2HVvkew/J81q0gfOmGLR4ZfFWMKyzBfGIVwrqmQkPRDuJ7ZBRqsD_Q7pWEh9zz-iTd5IZpM1pXtzMASsoTUJvNpfVvecTq3_bFpL5KCcHu2h8-jUblWNTdbZ0bwuRfmYN-xMtLYrw5NiF8qz_JzK5x4AnMZITw/otItGNSLal19V8MeCbXV_7mUQZZMyD4nXrXLikdqlB4),IMG-3968.jpg (https://v5.airtableusercontent.com/v3/u/33/33/1728007200000/NH1qQykd0yd57a7pfgYzKQ/SRJHwGa6Yf7vyMqO-97XX1Xq42OuNd28BfQmdg7xU7eX--3c0Pot4P1fD0F0pE8P-suhA_eIfUmf7Sqaqp3_pAdzqBozGjzLvcSqk_dEkMWi65-xb0dM5EIlecbeiq-xa3SLZRlCGZzGW4_3UYnuLg/5sdr2yt1ZKiET8Wexz_kEbuiUPQ4zXcw6B4q96oMybw),IMG-4114.jpg (https://v5.airtableusercontent.com/v3/u/33/33/1728007200000/s8oR77F53_zy3FZ-MnqDPQ/vZOsvHdn4NyUqA5dOEtq3jhmYjnVPpDImOGHNQdxazYSpuuzm7FWELpZ32AxWyPc68dLZA3HPglfzkM5cNeJ6lPLEk8WaP6maqNVndi_v5KOzhfr7RggpdW9NuwSSHoxlKaYEjRtKYTraYn0THklKA/s6qHq1IksWOPl_Q9SsiDqtj9IqKInegLeA80sVm3Cls)","1. First photo is a screenshot from the video recording with Jack Chen for Episode 5 of the podcast.

1. Second photo is a screenshot from the video recording with Saketh Kesiraju for Episode 2 of the podcast. 

1. Third photo is a screenshot of me after finishing a news segment for WNYU's The Rundown (a news show similar to the podcast)","Communications/IT, Sustainability",WNYU - Research,"New York, NY, USA",No,Fall/Winter Sophomore
LA Hacks Hackathon Mentoring,Leadership Development,"Volunteer Event/Experience,Student Activity/Event/Club,Special Course",I voluntered at one of biggest hackathons (over 400 participants) in the West Coast in order to help middle and high school students create solutions to solve problems that pertain to the UN Sustainable Development Goals and the Engineering Grand Challenges. I also took part in a special workshop learning how to use Niantic 8th Wall to create realistic AR/VR experiences viewable from your desktop and phone.  ,"One of the tracks of LA Hacks that hackers could create solutions for was the Green House track. This track focused on the importance of the environment on homebuilding and creating projects that could produce sustainable solutions that could protect natural homes for years to come. Another track was the ""Operation Safe and Sound"" track that focused on building projects that improved the privacy and security in the doings of our everyday lives. 

These tracks relate to Goals 4 and 6 of the UN Sustainable Development Goals. By providing mentorship to these high school students, I am providing my knowledge and expertise of machine learning and deep learning to students who would have to consult outside tutorials and YouTube videos to learn it without specialized help. I am therefore providing quality education to these students. Furthermore, since Track 2 of the event corresponds to an environmental challenge, I am encouraging these high school students to create ways to produce clean water and sanitation for their homes and to reduce contamination for proper nutrition in all Bay Area neighborhoods.","I have mostly lived within the NYC area so getting to experience the Bay Area was a nice treat. Different problems plague different areas and I got to experience the more car-centric ways of the Bay Area, which got me thinking of some urban solutions. I also attended a workshop on Niantic 8th Wall, which really impressed me with how good the quality of the AR/VR was. I plan to create an interesting hologram project using the 8th Wall API, which would help me learn how to use AR in a more useful and futuristic scenario rather than as a silly joke. It was a great opportunity and I plan to do this type of thing more often as a computer science student interested in helping out in terms of service. ",4/8/2023,4/9/2023,"https://www.8thwall.com/niantic

8th.io/bxfs8","IMG_4928.HEIC (https://v5.airtableusercontent.com/v3/u/33/33/1728007200000/upjFyVyUMhGDSi60srDcWA/b9ckqwwX2m5mXMbcphDwUV0ee-sfGUkzqEzwUcA1DgvP1uUX7mJIhc13hbDq_rowLzl3iDTNM4HKvmtObozftnyhlKssevVyKl3JAV0pkTkjxk-SXbSVA5k5NQ30X3H36ie2J6_1II0ovhR5O3mTOQ/vQgVKsKIRZHmNkZoft6zooPRcBoLNSw2lliwhNnqcFE),IMG_4931.jpg (https://v5.airtableusercontent.com/v3/u/33/33/1728007200000/157mCKF7Soj1e1sD-_4Cag/WxXpyma_82UmqVo8OBMt9iCpZ3amsJTxmenjaKjKrDHs-IP_ccP5-smzXWU_wY0-AvcR40yCp65C7OdHrkst6CWJGhBqtp4YgDC0DE__tAyEu8IXIDBi-84d0dFpwPNn7k3n40UvkRbzNnvFXKK8PQ/3yW78hPPFsOLn22DBsfti4v_nLBnuCzmKBakOFIhN4I),The Upload S2 E4.wav (https://v5.airtableusercontent.com/v3/u/33/33/1728007200000/mfwnDrh_6zgzuBODV11XqA/hQAj7-2hNQukGLB7yM752O_wLp5Oq8SpweCbDuNjS_eiC9R695m7W3Nyx6wGaknY7oFMJS6fLn42dMIRPvX9PQAZpp4QX-IEW4ePg65800FcSxfFj8n56UrkbCGg8FIy_0Zs49DLhsyMjgrP2lcZ9A/XS8Di3H-JEFfYjKApU76SV0CQRGhZxj2Af3-8ppB4JQ)","IMG_4928.HEIC - View of LA Hacks Day 1 Operations

IMG_4931.JPG - Niantic 8th Wall Demonstration. Bringing Doty (Niantic Mascot) into the Real World using AR.

The Upload S2 E4.wav - My Interview for my podcast The Upload with the entire LA Hacks team.","Health, Sustainability, Emerging Media","MLH Website and LA Hacks Website

https://lahacks.com/live/tracks

https://mlh.io/seasons/2023/events","Sunnyvale, CA, USA",Yes,Spring/Summer Sophomore 
